predictor,importance_mean,importance_standard_deviation
purchase_month,0.13323757950208975,0.008956337877433763
customer_state,0.05478996910775943,0.004869646020399983
distance_km,0.016371797201526418,0.004911717521213767
seller_state,0.014945884063238313,0.0032984851924688203
product_category,0.012632673087406888,0.005206485272922302
state_lane,0.007412829365800533,0.006131346586508083
total_freight_value,0.00395646011266586,0.0016308178245494171
same_region,0.002201344721061238,0.00279573620697069
total_weight_g,0.000922624023260088,0.0009155247475608012
item_count,0.0007510085407959832,0.0006508473478249099
distinct_product_count,0.0004452843903325787,0.0009246866549201563
total_volume_cm3,-4.324913683444454e-05,7.512135043111612e-05
total_item_value,-0.0011624931855351295,0.0012362217131070975
purchase_day_of_week,-0.0014067962929311339,0.0012875112530468895
promised_days_from_purchase,-0.002551844448482621,0.000949108238085779
