risk_decile,orders,extreme_tail_orders,actual_extreme_tail_rate,average_predicted_probability
0,576,2,0.003472222222222222,0.0031416191895535807
1,575,7,0.01217391304347826,0.007387094267991961
2,575,11,0.019130434782608695,0.012401806954127554
3,575,7,0.01217391304347826,0.017918163380385134
4,576,7,0.012152777777777778,0.02400303549464988
5,575,22,0.03826086956521739,0.03179555038924727
6,575,20,0.034782608695652174,0.04210010052431194
7,575,24,0.04173913043478261,0.05617687125407658
8,575,47,0.0817391304347826,0.07923403054672454
9,576,103,0.17881944444444445,0.15065764142449015
